gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
DC0367,"801 EYE ST., N.W.",WASHINGTON,DC,20002-3632,38.90011851,-77.023325,130178,299276,267951,89.53,1.25E+07,46.83,4.21,4.21
DC0173,600 E STREET NW,WASHINGTON,DC,20004-2203,38.89606,-77.020234,130349,327663,327663,100,1.25E+07,38.04,1.89,1.89
MD0289,1315 E WEST HWY,SILVER SPRING,MD,20910-6233,38.992888,-77.031634,131606,498076,493095,99,1.23E+07,24.96,1.24,1.24
DC1261,425 EYE STREET NW,WASHINGTON,DC,20001-2542,38.9013471,-77.017013,GSA,367685,285434,77.63,1.23E+07,43,9.19,9.19
MD0210,6120 & 6130 EXECUTIVE BLVD,ROCKVILLE,MD,20852-4906,39.04791132,-77.12756269,130900,331524,331254,99.92,1.21E+07,36.56,1.5,1.5
DC0406,800 N CAPITOL ST NW,WASHINGTON,DC,20002-4244,38.89891,-77.008107,129871,302892,300330,99.15,1.21E+07,40.27,1.22,1.22
DC1359,20 MASSACHUSETTS AVE NW,WASHINGTON,DC,20001-0001,38.897744,-77.009816,129476,341901,339541,99.31,1.21E+07,35.58,0.53,0.53
VA0882,875 N RANDOLPH STREET,ARLINGTON,VA,22203-1927,38.880522,-77.109121,754486,313595,313595,100,1.19E+07,37.79,0.5,0.5
DC1269,2025 E ST NW,WASHINGTON,DC,20006-5009,38.896038,-77.045483,52226,462000,258212,55.89,1.18E+07,45.69,8.25,8.25
DC0292,"500 C STREET,SW",WASHINGTON,DC,20024-2523,38.886072,-77.018735,129647,305238,302946,99.25,1.18E+07,38.88,7.38,5.38
DC0395,111 MASS AVE NW,WASHINGTON,DC,20001-1461,38.89897,-77.012576,129019,266623,250991,94.14,1.17E+07,46.79,3.59,2.98
DC0385,1425 NEW YORK AVE NW,WASHINGTON,DC,20005-2108,38.899269,-77.032541,129972,276018,272880,98.86,1.17E+07,42.87,2.2,2.2
OR6485,333 SW 1ST AVE,PORTLAND,OR,97204-3440,45.520192,-122.672295,717238,426966,352249,82.5,1.16E+07,32.99,4.47,2.96
DC0574,601 NEW JERSEY AVENUE NW,WASHINGTON,DC,20001-2018,38.897344,-77.011841,130671,258685,258685,100,1.16E+07,44.69,0.4,0.4
DC0366,"800 K ST., N.W.",WASHINGTON,DC,20001-8000,38.90209,-77.023257,129258,459062,249900,54.44,1.10E+07,44.21,5.42,4.42
VA0907,2777 CRYSTAL DRIVE,ARLINGTON,VA,22202-3553,38.848686,-77.051256,673540,315231,312460,99.12,1.09E+07,34.73,3.92,3.92
DC0331,500 E STREET SW,WASHINGTON,DC,20024-2760,38.883206,-77.018623,129648,250451,247914,98.99,1.07E+07,43.01,2.86,2.86
DC0560,1750 PENNSYLVANIA AVE NW,WASHINGTON,DC,20006-4502,38.899193,-77.040612,129142,281624,234731,83.35,1.07E+07,45.39,6,6
VA1447,2521 S CLARK ST,ARLINGTON,VA,22202-3909,38.851365,-77.051596,137437,357539,357181,99.9,1.06E+07,29.55,2.79,2.79
CA6330,75 HAWTHORNE STREET,SAN FRANCISCO,CA,94105-3920,37.784955,-122.398185,320560,348021,259156,74.47,1.03E+07,39.91,0.84,0.84
DC0690,"1201 EYE ST., NW",WASHINGTON,DC,20005-5905,38.901316,-77.0281,129207,269299,219750,81.6,1.03E+07,46.96,0.18,0.18
NY7161,158-15 LIBERTY AVE.,NEW YORK-QUEENS,NY,11433-1034,40.700032,-73.798153,8003795,224000,224000,100,1.03E+07,45.82,7.55,7.47
DC0319,1301 NEW YORK AVE,WASHINGTON,DC,20005-4701,38.90026,-77.029721,129660,201281,201281,100,1.02E+07,50.63,1.95,1.95
NY7013,1133 6TH AVE,NEW YORK-MANHATTAN,NY,10036-6710,40.755828,-73.983404,157078,1100000,207379,18.85,1.02E+07,49.05,2.47,2.47
VA1463,1701 N FORT MYER DRIVE,ARLINGTON,VA,22209-3111,38.894463,-77.071983,137346,280259,280259,100,1.01E+07,35.93,2.25,2.25
NY7343,85 TENTH AVENUE,NEW YORK-MANHATTAN,NY,10011-4721,40.742885,-74.00768,158238,597953,224000,37.46,9995652.29,44.62,2.55,2.55
DC0712,1201-1225 NEW YORK AVENUE,WASHINGTON,DC,20005-6156,38.900831,-77.028105,129233,299262,234243,78.27,9860280.91,42.09,2.17,2.17
VA0862,499 GROVE STREET,HERNDON,VA,20170-4732,38.964963,-77.374953,135686,257400,257400,100,9758023.8,37.91,7.29,7.29
MD0254,11545 ROCKVILLE PIKE,BETHESDA,MD,20852-2747,39.046674,-77.112524,131363,364000,347922,95.58,9756986.9,28.04,1.7,1.7
DC0320,"1331 PENN AVENUE,NW",WASHINGTON,DC,20004-1710,38.896113,-77.030421,129246,423112,204875,48.42,9746046.25,47.57,6.75,6.75
DC0207,1275 FIRST ST NE,WASHINGTON (NW),DC,20002-3370,38.902369,-76.989336,783153,338645,329251,97.23,9698691.01,29.46,5.59,5.59
DC0564,830 1ST ST NE,WASHINGTON,DC,20002-8019,38.900948,-77.006397,130048,247337,247337,100,9645493.32,39,14.34,14.34
NY7138,159 STREET AND ROCKAWAY BLVD,NEW YORK-QUEENS,NY,11430-0000,40.66349702,-73.77832285,GSA,209244,209244,100,9639726.52,46.07,8.01,8.01
OR6728,100 SW MAIN ST,PORTLAND,OR,97204-3218,45.519299,-122.67732,1221801,364735,269703,73.94,9424849.74,34.95,10.09,6.75
MO1982,1829 DUNN ROAD,ST. LOUIS,MO,63138-1002,38.771066,-90.232864,7914794,474690,474690,100,9362324.38,19.72,19.09,19.09
DC0382,810 7TH STREET NW,WASHINGTON,DC,20001-3718,38.899862,-77.021903,129692,253028,231150,91.35,9254943.34,40.04,0.08,0.08
VA0289,201 12TH ST S,ARLINGTON,VA,22202-4359,38.862343,-77.048712,137328,342000,236567,69.17,9200769.2,38.89,2.93,2.57
DC0055,"2200 C STREET, NW",WASHINGTON,DC,20037-2907,38.893237,-77.049694,129962,359026,189008,52.64,9091939.77,48.1,7.23,7.23
VA0153,241 18TH STREET SOUTH,ARLINGTON,VA,22202-4381,38.857582,-77.049991,137390,333335,213359,64.01,9040089.15,42.37,2.8,2.35
VA0346,1750 CRYSTAL DRIVE,ARLINGTON,VA,22202-3403,38.857793,-77.049245,137334,243128,243128,100,8966453.32,36.88,3.75,3.75
DC0691,799 9TH ST NW,WASHINGTON,DC,20001-4501,38.898965,-77.023984,65,201462,183906,91.29,8922946.26,48.52,0.78,0.78
VA0839,1901 SOUTH BELL STREET,ARLINGTON,VA,22202-4500,38.856506,-77.051875,137521,277056,224523,81.04,8909989.29,39.68,3.66,3.01
NY7270,1 PENN PLAZA,NEW YORK-MANHATTAN,NY,10119-0002,40.751596,-73.992086,157037,2585000,146677,5.67,8741746.66,59.6,5.63,1.88
