"rfid_tag_id","location","antenna_port","action_type","content","product_style_id","product_name","customer_name","timestamp"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:04.000Z"
"DD0000000000000000001386","Women's Dressing Room","3,4","urlPush","http://u2d2.com/p%{style_id}","3511171","Nike 'Legend 2.0' Print Dri-FIT Tight Fit Capris","","2014-01-29T03:24:05.000Z"
"ABBA00000000000000000048","Digital Mannequin","2","leaderboardPush","","","","Decker Robin","2014-01-29T03:24:07.000Z"
"ABBA00000000000000000090","iBeacon","1","leaderboardPush","","","","Holtrop Marti","2014-01-29T03:24:08.000Z"
"ABBA00000000000000000185","Dressing Room","2","leaderboardPush","","","","Sato Mike","2014-01-29T03:24:09.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:09.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:09.000Z"
"ABBA00000000000000000015","iBeacon","1","leaderboardPush","","","","Bender Lisa","2014-01-29T03:24:11.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:14.000Z"
"ABBA00000000000000000015","iBeacon","1","leaderboardPush","","","","Bender Lisa","2014-01-29T03:24:17.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:19.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:19.000Z"
"ABBA00000000000000000024","Self Service Wall","4","leaderboardPush","","","","Burrow Sean","2014-01-29T03:24:24.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:24.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:29.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:29.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:34.000Z"
"ABBA00000000000000000193","iBeacon","1","leaderboardPush","","","","Smith Pat","2014-01-29T03:24:36.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:39.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:39.000Z"
"ABBA00000000000000000193","iBeacon","1","leaderboardPush","","","","Smith Pat","2014-01-29T03:24:41.000Z"
"ABBA00000000000000000090","Dressing Room","2","leaderboardPush","","","","Holtrop Marti","2014-01-29T03:24:43.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:44.000Z"
"ABBA00000000000000000015","Dressing Room","2","leaderboardPush","","","","Bender Lisa","2014-01-29T03:24:49.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:49.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:49.000Z"
"ABBA00000000000000000043","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Costello Brian","2014-01-29T03:24:51.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:54.000Z"
"ABBA00000000000000000064","Digital Mannequin","2","leaderboardPush","","","","Feinman Evan","2014-01-29T03:24:57.000Z"
"ABBA00000000000000000035","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Cimino Kim","2014-01-29T03:24:59.000Z"
"ABBA00000000000000000079","Color Palette","3","leaderboardPush","","","","Guillen Mylinda","2014-01-29T03:24:59.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:59.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:59.000Z"
"ABBA00000000000000000085","iBeacon","1","leaderboardPush","","","","Hartley-Triesch Debbi","2014-01-29T03:25:01.000Z"
"ABBA00000000000000000162","Digital Mannequin","2","leaderboardPush","","","","Popejoy Erika","2014-01-29T03:25:01.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:25:04.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:25:09.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:25:09.000Z"
"ABBA00000000000000000124","Color Palette","3","leaderboardPush","","","","Love Michele","2014-01-29T03:25:12.000Z"
"ABBA00000000000000000193","Dressing Room","2","leaderboardPush","","","","Smith Pat","2014-01-29T03:25:13.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:25:14.000Z"
"ABBA00000000000000000131","Color Palette","3","leaderboardPush","","","","Martini Lesa","2014-01-29T03:25:17.000Z"
"ABBA00000000000000000187","iBeacon","1","leaderboardPush","","","","Schulle Joanne","2014-01-29T03:25:21.000Z"
"ABBA00000000000000000207","Seek and Find","1","leaderboardPush","","","","Trice John","2014-01-29T03:25:22.000Z"
"ABBA00000000000000000124","Shop My Store","2","leaderboardPush","","","","Love Michele","2014-01-29T03:25:23.000Z"
"ABBA00000000000000000228","Shop My Store","2","leaderboardPush","","","","Holland Greg","2014-01-29T03:25:27.000Z"
