StationName	LINE_ID	Line	Title	Color	stop_lon	stop_lat	ROUTE	TERMINUS	WkdyEntry
Rockport	RockComm01	Commuter Rail	Rockport	B4D0D8	-70.62626003	42.65620233
Gloucester	RockComm02	Commuter Rail	Rockport	B4D0D8	-70.66581686	42.61670619
West Gloucester	RockComm03	Commuter Rail	Rockport	B4D0D8	-70.70612108	42.611362
Manchester	RockComm04	Commuter Rail	Rockport	B4D0D8	-70.77038596	42.57355259
Beverly Farms	RockComm05	Commuter Rail	Rockport	B4D0D8	-70.81269335	42.56134822
Prides Crossing	RockComm06	Commuter Rail	Rockport	B4D0D8	-70.8247431	42.55949056
Montserrat	RockComm07	Commuter Rail	Rockport	B4D0D8	-70.86805747	42.56248903
Beverly	RockComm08	Commuter Rail	Rockport	B4D0D8	-70.88535021	42.547906
Canton Junction	StoComm01	Commuter Rail	Stoughton	B4D0D8	-71.15385145	42.16299331
Canton Center	StoComm02	Commuter Rail	Stoughton	B4D0D8	-71.14556889	42.15675354
Stoughton	StoComm03	Commuter Rail	Stoughton	B4D0D8	-71.10337181	42.12377537
Lechmere	allGREEN01	Green Line	Green Line (main)	4A8E14	-71.07715771	42.37091787	E - Lechmere	Y	6645
Science Park	allGREEN02	Green Line	Green Line (main)	4A8E14	-71.06774399	42.36674243	E - Lechmere	N	1179
North Station	allGREEN03	Green Line	Green Line (main)	4A8E14	-71.05998294	42.36514376	C E	N	16702
Haymarket	allGREEN04	Green Line	Green Line (main)	4A8E14	-71.05785166	42.36247252	C E	N	11223
Government Center	allGREEN05	Green Line	Green Line (main)	4A8E14	-71.05945867	42.3592966	B C D E	N	11317
Park Street	allGREEN06	Green Line	Green Line (main)	4A8E14	-71.06230984	42.35620327	B C D E	N	19836
Boylston	allGREEN07	Green Line	Green Line (main)	4A8E14	-71.06460214	42.35302132	B C D E	N	7618
Arlington	allGREEN08	Green Line	Green Line (main)	4A8E14	-71.07098957	42.35176845	B C D E	N	8378
Copley	allGREEN09	Green Line	Green Line (main)	4A8E14	-71.07797545	42.3499076	B C D E	N	13500
Copley	BGREEN01	Green Line	Green Line (B)	4A8E14	-71.07797545	42.3499076
Hynes Convention Ctr/ICA	BGREEN02	Green Line	Green Line (B)	4A8E14	-71.08731456	42.34798229
Kenmore	BGREEN03	Green Line	Green Line (B)	4A8E14	-71.09554477	42.34899687
Blandford Street	BGREEN04	Green Line	Green Line (B)	4A8E14	-71.10005559	42.34919808	B - Boston College	N	2840
Boston University East	BGREEN05	Green Line	Green Line (B)	4A8E14	-71.10442794	42.34972114	B - Boston College	N	2892
Boston University Central	BGREEN06	Green Line	Green Line (B)	4A8E14	-71.10703612	42.35004076	B - Boston College	N	2524
Boston University West	BGREEN07	Green Line	Green Line (B)	4A8E14	-71.11350641	42.35082168	B - Boston College	N	899
Saint Paul Street B	BGREEN08	Green Line	Green Line (B)	4A8E14	-71.11634399	42.351163	C - Cleveland Circle	N	935	This might be the B line
